2020-06-22 15:05:49.2588 INFO (API Server) -Try to GET Connected User's Role  - Controller : AspNetUserRolesController; Actionname: GetUserRole(...); HTTP method : HttpGet; Time: 22.06.2020 15:05:49

2020-06-22 15:05:54.1149 INFO (API Server) -Try to GET Reviews for book 105 (Id) - Controller : BooksController; Actionname: GetBookReviews(...); HTTP method : HttpGet; Time: 22.06.2020 15:05:54

2020-06-22 15:05:54.3997 INFO (API Server) -Try to GET Review's rating for book 105 (Id) - Controller : BooksController; Actionname: GetBookReviews(...); HTTP method : HttpGet; Time: 22.06.2020 15:05:54

2020-06-22 15:06:02.0291 INFO (API Server) - Try to GET ALL LineItems - Controller: AppreciationsController; Actionname: GetLineItems(); HTTP method : HttpGet; Time: 22.06.2020 15:06:02

2020-06-22 15:06:02.4397 INFO Log Information(API Server) -Try to POST Review 0(Id) - Controller : ReviewsController; Actionname: PostReview(...); HTTP method : HttpPost; Time: 22.06.2020 15:06:02


2020-06-22 15:06:02.9362 INFO (API Server) -Try to GET Reviews for book 105 (Id) - Controller : BooksController; Actionname: GetBookReviews(...); HTTP method : HttpGet; Time: 22.06.2020 15:06:02

2020-06-22 15:06:02.9835 INFO (API Server) -Try to GET Review's rating for book 105 (Id) - Controller : BooksController; Actionname: GetBookReviews(...); HTTP method : HttpGet; Time: 22.06.2020 15:06:02

2020-06-22 15:06:09.9638 INFO (API Server) - Try to GET ALL LineItems - Controller: AppreciationsController; Actionname: GetLineItems(); HTTP method : HttpGet; Time: 22.06.2020 15:06:09

2020-06-22 15:06:10.0859 INFO Log Information(API Server) -Try to POST Review 0(Id) - Controller : ReviewsController; Actionname: PostReview(...); HTTP method : HttpPost; Time: 22.06.2020 15:06:10


2020-06-22 15:06:10.3319 INFO (API Server) -Try to GET Reviews for book 105 (Id) - Controller : BooksController; Actionname: GetBookReviews(...); HTTP method : HttpGet; Time: 22.06.2020 15:06:10

2020-06-22 15:06:10.4515 INFO (API Server) -Try to GET Review's rating for book 105 (Id) - Controller : BooksController; Actionname: GetBookReviews(...); HTTP method : HttpGet; Time: 22.06.2020 15:06:10

2020-06-22 15:06:22.0954 INFO (API Server) - Try to GET ALL LineItems - Controller: AppreciationsController; Actionname: GetLineItems(); HTTP method : HttpGet; Time: 22.06.2020 15:06:22

2020-06-22 15:06:22.2366 INFO Log Information(API Server) -Try to POST Review 0(Id) - Controller : ReviewsController; Actionname: PostReview(...); HTTP method : HttpPost; Time: 22.06.2020 15:06:22


2020-06-22 15:06:22.4536 INFO (API Server) -Try to GET Reviews for book 105 (Id) - Controller : BooksController; Actionname: GetBookReviews(...); HTTP method : HttpGet; Time: 22.06.2020 15:06:22

2020-06-22 15:06:22.5103 INFO (API Server) -Try to GET Review's rating for book 105 (Id) - Controller : BooksController; Actionname: GetBookReviews(...); HTTP method : HttpGet; Time: 22.06.2020 15:06:22

